Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,13.380000,13.560000,10.780000,11.860000,11.230245,138545422
2015-02-01,11.900000,13.200000,10.380000,12.820000,12.139270,83917442
2015-03-01,12.740000,15.180000,12.320000,14.100000,13.351304,140372366
2015-04-01,14.100000,18.500000,13.720000,17.360001,16.438202,174131825
2015-05-01,17.360001,19.940001,16.360001,17.020000,16.116257,153363945
2015-06-01,16.900000,18.299999,15.700000,16.900000,16.179708,99885239
2015-07-01,16.900000,19.379999,13.520000,14.960000,14.322392,191045876
2015-08-01,15.700000,16.059999,10.960000,12.920000,12.369340,191281673
2015-09-01,12.500000,15.980000,12.240000,15.380000,14.724493,91753851
2015-10-01,15.380000,18.459999,15.240000,18.160000,17.386005,108921533
2015-11-01,18.400000,19.320000,17.260000,17.639999,16.888168,63944687
2015-12-01,17.740000,19.280001,17.219999,17.820000,17.060497,58351481
2016-01-01,17.820000,18.920000,14.840000,16.540001,15.835055,108189614
2016-02-01,16.540001,18.620001,16.260000,18.000000,17.232828,70542370
2016-03-01,18.100000,24.150000,17.420000,21.799999,20.870867,189272407
2016-04-01,21.200001,25.650000,21.100000,24.000000,22.977102,136635134
2016-05-01,24.000000,27.600000,22.549999,26.850000,25.705633,104792248
2016-06-01,27.350000,28.150000,24.549999,27.150000,26.260283,121100724
2016-07-01,27.150000,31.850000,25.600000,30.900000,29.887392,119934336
2016-08-01,31.200001,42.900002,30.350000,41.450001,40.091663,198402655
2016-09-01,41.450001,42.599998,35.500000,38.299999,37.044891,186202690
2016-10-01,39.000000,41.000000,37.049999,37.900002,36.657997,92468938
2016-11-01,38.000000,42.799999,35.500000,39.049999,37.770313,196265649
2016-12-01,39.200001,40.049999,32.400002,33.950001,32.837440,147110999
2017-01-01,33.950001,45.799999,33.299999,45.750000,44.250748,102026755
2017-02-01,44.599998,55.500000,43.349998,49.950001,48.313118,163743304
2017-03-01,50.349998,59.000000,50.049999,56.799999,54.938641,154921779
2017-04-01,56.900002,65.300003,52.549999,64.000000,61.902691,110927932
2017-05-01,64.000000,67.800003,58.700001,60.700001,58.710835,145188789
2017-06-01,61.349998,74.300003,55.650002,70.000000,68.069481,155016041
2017-07-01,70.449997,99.750000,67.000000,93.000000,90.435173,183139316
2017-08-01,91.000000,116.699997,91.000000,112.199997,109.105652,181407988
2017-09-01,112.900002,138.399994,106.199997,124.199997,120.774712,142025219
2017-10-01,124.199997,132.800003,107.199997,114.199997,111.050499,153498148
2017-11-01,115.400002,152.600006,115.400002,130.000000,126.414749,194436469
2017-12-01,131.199997,135.300003,93.199997,99.900002,97.144882,279630661
2018-01-01,99.900002,118.000000,99.900002,108.300003,105.313210,256639284
2018-02-01,109.699997,136.199997,101.500000,130.699997,127.095451,171005829
2018-03-01,128.500000,171.600006,126.599998,144.899994,140.903824,206355657
2018-04-01,144.899994,161.000000,115.900002,130.100006,126.512001,148853601
